Time:1000Hz,Epoch,Channel 1,Channel 2,Event Id,Event Date,Event Duration
0.356,356,-30645.68,8473.29,,,
0.357,357,-30639.2,8478.97,,,
0.358,358,-30626.7,8488.47,,,
0.359,359,-30609.59,8500.93,,,
0.36,360,-30591.22,8514.22,,,
0.361,361,-30575.97,8525.23,,,
0.362,362,-30567.83,8530.72,,,
0.363,363,-30569.01,8528.41,,,
0.364,364,-30579.31,8517.92,,,
0.365,365,-30596.34,8501.12,,,
0.366,366,-30616.5,8481.62,,,
0.367,367,-30636.19,8463.64,,,
0.368,368,-30652.67,8450.69,,,
0.369,369,-30664.36,8444.55,,,
0.37,370,-30670.64,8445.03,,,
0.371,371,-30671.33,8450.55,,,
0.372,372,-30666.36,8459.04,,,
0.373,373,-30655.85,8468.91,,,
0.374,374,-30640.41,8479.39,,,
0.375,375,-30621.58,8490.31,,,
0.376,376,-30601.93,8501.41,,,
0.377,377,-30584.69,8511.72,,,
0.378,378,-30573.03,8519.48,,,
0.379,379,-30569.14,8522.56,,,
0.38,380,-30573.57,8519.34,,,
0.381,381,-30585.11,8509.57,,,
0.382,382,-30601.1,8494.69,,,
0.383,383,-30618.23,8477.54,,,
0.384,384,-30633.37,8461.47,,,
0.385,385,-30644.22,8449.36,,,
0.386,386,-30649.64,8442.88,,,
0.387,387,-30649.6,8442.31,,,
0.388,388,-30644.87,8446.89,,,
0.389,389,-30636.66,8455.39,,,
0.39,390,-30626.25,8466.54,,,
0.391,391,-30614.79,8479.18,,,
0.392,392,-30603.28,8492.18,,,
0.393,393,-30592.65,8504.15,,,
0.394,394,-30583.78,8513.48,,,
0.395,395,-30577.61,8518.55,,,
0.396,396,-30575.01,8518.23,,,
0.397,397,-30576.63,8512.31,,,
0.398,398,-30582.6,8501.68,,,
0.399,399,-30592.38,8488.13,,,
0.4,400,-30604.71,8473.84,,,
0.401,401,-30617.74,8460.84,,,
0.402,402,-30629.37,8450.63,,,
0.403,403,-30637.65,8444.14,,,
0.404,404,-30641.06,8441.9,,,
0.405,405,-30638.8,8444.24,,,
0.406,406,-30630.83,8451.25,,,
0.407,407,-30617.94,8462.62,,,
0.408,408,-30601.73,8477.21,,,
0.409,409,-30584.6,8492.91,,,
0.41,410,-30569.56,8506.79,,,
0.411,411,-30559.74,8515.73,,,
0.412,412,-30557.71,8517.36,,,
0.413,413,-30564.63,8510.89,,,
0.414,414,-30579.61,8497.5,,,
0.415,415,-30599.65,8480.13,,,
0.416,416,-30620.26,8462.63,,,
0.417,417,-30636.73,8448.64,,,
0.418,418,-30645.55,8440.62,,,
0.419,419,-30645.46,8439.32,,,
0.42,420,-30637.67,8443.94,,,
0.421,421,-30625.09,8452.71,,,
0.422,422,-30611.04,8463.74,,,
0.423,423,-30597.95,8475.57,,,
0.424,424,-30586.75,8487.41,,,
0.425,425,-30577.11,8498.88,,,
0.426,426,-30568.4,8509.58,,,
0.427,427,-30560.74,8518.69,,,
0.428,428,-30555.48,8524.89,,,
0.429,429,-30554.78,8526.69,,,
0.43,430,-30560.57,8523.05,,,
0.431,431,-30573.23,8513.96,,,
0.432,432,-30590.97,8500.72,,,
0.433,433,-30610.15,8485.8,,,
0.434,434,-30626.52,8472.14,,,
0.435,435,-30636.8,8462.38,,,
